{'omega': 1.0, 'k': 0.1, 'max_u1': 2.472015918855359, 'max_v1': 2.4472085980401284, 'max_u2': 2.3894359161330394, 'max_v2': 2.065243736846085, 'max_r_orig': 1.0217606466642366, 'T': 125.66370614359172, 'all_finite': False}
{'omega': 1.0, 'k': 1.0, 'max_u1': 3.061339569538288, 'max_v1': 3.0580360346385684, 'max_u2': 3.069285358190529, 'max_v2': 2.7205377617137096, 'max_r_orig': 1.0217606466642366, 'T': 125.66370614359172, 'all_finite': False}
{'omega': 1.0, 'k': 10.0, 'max_u1': 2.3228152638266906, 'max_v1': 2.6071405748192706, 'max_u2': 2.152022056163455, 'max_v2': 3.079391939163376, 'max_r_orig': 1.0217606466642366, 'T': 125.66370614359172, 'all_finite': False}
{'omega': 1.0, 'k': 100.0, 'max_u1': 1.0313646494939526, 'max_v1': 0.990977760215691, 'max_u2': 1.0210523410979604, 'max_v2': 1.0007147143489037, 'max_r_orig': 1.0217606466642366, 'T': 125.66370614359172, 'all_finite': True}
{'omega': 1.0, 'k': 1000.0, 'max_u1': 1.0206103598068867, 'max_v1': 0.9805494876132609, 'max_u2': 1.0105466114312103, 'max_v2': 0.9904635531991917, 'max_r_orig': 1.0217606466642366, 'T': 125.66370614359172, 'all_finite': True}
{'omega': 1.0, 'k': 10000.0, 'max_u1': 1.0196421504988646, 'max_v1': 0.9796131778366681, 'max_u2': 1.0096044930495458, 'max_v2': 0.9895443896876917, 'max_r_orig': 1.0217606466642366, 'T': 125.66370614359172, 'all_finite': True}
{'omega': 5.0, 'k': 0.1, 'max_u1': 5.180749196167517, 'max_v1': 5.206018191900648, 'max_u2': 5.16090239076012, 'max_v2': 5.164412945790691, 'max_r_orig': 1.0091971194746985, 'T': 25.132741228718345, 'all_finite': False}
{'omega': 5.0, 'k': 1.0, 'max_u1': 9.495015431603834, 'max_v1': 9.519363884991957, 'max_u2': 9.459572895509362, 'max_v2': 9.46551293364796, 'max_r_orig': 1.0091971194746985, 'T': 25.132741228718345, 'all_finite': False}
{'omega': 5.0, 'k': 10.0, 'max_u1': 10.57098262798273, 'max_v1': 10.5402883235075, 'max_u2': 10.54432768658904, 'max_v2': 10.557925254378025, 'max_r_orig': 1.0091971194746985, 'T': 25.132741228718345, 'all_finite': False}
{'omega': 5.0, 'k': 100.0, 'max_u1': 1.0236452313472286, 'max_v1': 1.0168798047396752, 'max_u2': 1.0287366330913208, 'max_v2': 1.0113155849323059, 'max_r_orig': 1.0091971194746985, 'T': 25.132741228718345, 'all_finite': True}
{'omega': 5.0, 'k': 1000.0, 'max_u1': 1.0046804432129957, 'max_v1': 0.9977925623239507, 'max_u2': 1.0098267181976925, 'max_v2': 0.9925672118078912, 'max_r_orig': 1.0091971194746985, 'T': 25.132741228718345, 'all_finite': True}
{'omega': 5.0, 'k': 10000.0, 'max_u1': 1.0034784530497187, 'max_v1': 0.9965849294238783, 'max_u2': 1.0086312884421178, 'max_v2': 0.9913937010424883, 'max_r_orig': 1.0091971194746985, 'T': 25.132741228718345, 'all_finite': True}
{'omega': 20.0, 'k': 0.1, 'max_u1': 5.621892681866708, 'max_v1': 5.61854988022871, 'max_u2': 5.6170626476643815, 'max_v2': 5.61565323730006, 'max_r_orig': 1.0024813977247333, 'T': 20.0, 'all_finite': False}
{'omega': 20.0, 'k': 1.0, 'max_u1': 5.440957988307918, 'max_v1': 5.437556513887221, 'max_u2': 5.436626689483083, 'max_v2': 5.4350448770787265, 'max_r_orig': 1.0024813977247333, 'T': 20.0, 'all_finite': False}
